#1,
double q(278,2) # time in h and q in W
14.864,0
15.26,0
17.36,420
17.368,460
17.377,470
17.385,450
17.393,330
17.41,350
17.435,360
17.443,340
17.452,350
17.468,340
17.518,300
17.527,330
17.535,350
17.543,330
17.552,340
17.618,330
17.627,340
17.635,350
17.643,340
17.66,330
17.668,340
17.693,330
17.727,340
17.735,330
17.743,340
17.752,330
17.76,340
17.768,330
17.785,340
17.793,330
17.818,340
17.835,320
17.843,330
17.852,340
17.868,330
17.877,320
17.885,340
17.927,370
17.935,380
17.943,330
17.952,300
17.96,330
17.968,290
17.977,340
17.985,330
18.01,320
18.018,330
18.043,320
18.052,330
18.068,340
18.077,330
18.085,320
18.093,310
18.102,330
18.11,350
18.118,330
18.127,290
18.135,360
18.143,280
18.152,330
18.16,300
18.168,360
18.177,330
18.185,300
18.193,370
18.202,330
18.21,340
18.218,330
18.243,290
18.252,320
18.268,290
18.277,320
18.285,350
18.293,320
18.302,360
18.31,330
18.318,310
18.327,320
18.335,360
18.343,320
18.352,330
18.36,350
18.368,330
18.377,350
18.385,300
18.393,310
18.402,300
18.41,310
18.418,320
18.427,360
18.435,310
18.443,320
18.468,340
18.477,320
18.485,310
18.493,330
18.51,340
18.518,300
18.527,330
18.535,340
18.543,310
18.552,330
18.56,380
18.577,360
18.585,350
18.593,330
18.602,300
18.61,310
18.618,350
18.627,330
18.635,360
18.643,340
18.652,330
18.66,340
18.668,300
18.677,330
18.685,290
18.693,340
18.702,350
18.71,320
18.718,330
18.752,320
18.76,330
18.768,350
18.777,330
18.785,320
18.802,360
18.81,330
18.818,320
18.827,330
18.835,320
18.852,330
18.877,320
18.885,310
18.893,330
18.902,320
18.91,330
18.918,320
18.927,340
18.935,320
18.952,300
18.96,310
18.977,320
18.985,310
18.993,320
19.01,330
19.018,320
19.035,330
19.043,320
19.06,330
19.068,320
19.077,330
19.085,320
19.093,360
19.102,320
19.11,360
19.118,290
19.127,320
19.135,350
19.143,370
19.152,280
19.16,340
19.168,290
19.177,300
19.185,290
19.193,340
19.21,320
19.218,300
19.227,320
19.235,330
19.243,320
19.268,300
19.277,310
19.285,290
19.293,330
19.302,310
19.31,320
19.318,300
19.327,350
19.335,370
19.343,360
19.352,300
19.36,330
19.368,320
19.385,290
19.393,320
19.402,330
19.41,320
19.418,350
19.427,330
19.435,350
19.443,360
19.452,330
19.46,340
19.468,320
19.493,330
19.502,340
19.51,350
19.518,360
19.527,350
19.535,330
19.543,320
19.552,330
19.568,320
19.618,330
19.627,310
19.635,320
19.652,310
19.66,300
19.668,330
19.677,320
19.685,330
19.702,310
19.71,330
19.718,340
19.727,290
19.735,310
19.752,360
19.76,310
19.768,340
19.777,330
19.802,320
19.81,310
19.818,330
19.843,320
19.852,370
19.86,330
19.868,340
19.877,330
19.893,300
19.902,350
19.91,300
19.918,350
19.927,360
19.935,330
19.943,310
19.952,290
19.96,300
19.968,320
19.977,340
19.985,370
20.002,290
20.01,340
20.027,330
20.035,310
20.043,320
20.052,350
20.06,280
20.068,330
20.077,360
20.085,330
20.093,320
20.102,300
20.11,320
20.118,310
20.127,330
20.143,320
20.152,350
20.16,320
20.193,310
20.202,300
20.21,310
20.227,330
20.235,280
20.243,300
20.252,290
20.26,300
20.268,360
20.277,330
20.285,360
20.293,280
20.302,340
20.31,360
20.327,340
20.335,350
20.343,0
